Methcathinone	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	Methcathinone	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Mephedrone	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	LRS	Mephedrone	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Cathinones	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	LRS	LRS	Cathinones	LRS	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Catha edulis	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	LRS	LRS	LRS	Catha edulis	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Methamphetamine	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	Methamphetamine	LRS	LRS	LRS	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Amphetamines	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	LRS	Amphetamines	LRS	LRS	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Ephedrine	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	LRS	LRS	Ephedrine	LRS	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Ephedra species	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	LRS	LRS	LRS	Ephedra species	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Cocaine	GR	MR	GR	LRNS	MR	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	SR	GR	GR	SR	SR	SR	SR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	Cocaine	LRS	MR	MR	SR	SR	SR	SR	SR	SR	SR
Erythroxylum species	GR	MR	GR	LRNS	MR	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	GR	MR	MR	GR	GR	GR	GR	GR	SR	GR	GR	SR	SR	SR	SR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	Erythroxylum species	MR	MR	SR	SR	SR	SR	SR	SR	SR
Levodopa	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	GR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	Levodopa	LRS	SR	SR	SR	SR	SR	SR	SR
Mucuna pruriens	MR	MR	MR	LRNS	LRNS	LRNS	GR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	MR	GR	GR	GR	GR	LRD	LRD	LRD	MR	MR	MR	MR	MR	GR	GR	GR	GR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	Mucuna pruriens	SR	SR	SR	SR	SR	SR	SR
Ibogaine	SR	SR	GR	LRNS	MR	LRNS	GR	GR	GR	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	GR	MR	MR	MR	MR	MR	MR	MR	SR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	MR	MR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	Ibogaine	LRS	SR	SR	SR	SR	SR
Tabernanthe iboga	SR	SR	GR	LRNS	MR	LRNS	GR	GR	GR	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	GR	MR	MR	MR	MR	MR	MR	MR	SR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	MR	MR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	Tabernanthe iboga	SR	SR	SR	SR	SR
Tropanes	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	GR	GR	GR	GR	GR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	Tropanes	GR	GR	GR	GR
Hyoscyamine	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	GR	GR	GR	GR	GR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	Hyoscyamine	GR	GR	GR
Scopolamine	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	GR	GR	GR	GR	GR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	Scopolamine	GR	GR
Brugmansia species	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	GR	GR	GR	GR	GR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	Brugmansia species	GR
Datura species	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	GR	GR	GR	GR	GR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	SR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	GR	GR	GR	GR	Datura species
